pixel_id,label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
p712,1328,544.0,3109.9613970588234,2205.685661764706,1328,intact,32,11,-27
p752,1331,415.0,3108.7614457831323,2254.7927710843373,1331,intact,32,12,-26
p792,1337,587.0,3110.5979557069845,2316.8449744463373,1337,intact,32,13,-25
p832,1338,484.0,3110.595041322314,2366.7252066115702,1338,intact,32,14,-24
p872,1334,580.0,3110.598968222692,2444.0400888474906,1334_1335,combined,32,15,-23
p912,1340,220.0,3113.1181818181817,2485.4045454545453,1340,intact,32,16,-22
p952,1339,565.0,3110.6825062128173,2553.775265456736,1339_1336,combined,32,17,-21
p992,1342,278.0,3114.1978417266187,2598.086330935252,1342,intact,32,18,-20
p1032,1341,666.0,3114.285285285285,2661.501501501501,1341,intact,32,19,-19
p1072,1343,487.0,3113.796714579056,2713.071868583162,1343,intact,32,20,-18
p1112,1344,478.0,3114.2928870292885,2775.0627615062763,1344,intact,32,21,-17
p1152,1347,385.0,3116.0,2820.4623376623376,1347,intact,32,22,-16
p1192,1348,635.0,3114.88031496063,2894.047244094488,1348,intact,32,23,-15
p1232,1345,296.0,3116.625,2949.939189189189,1345,intact,32,24,-14
p1272,1349,513.0,3116.5750487329437,3007.8810916179336,1349,intact,32,25,-13
p1312,1346,280.0,3116.925,3075.582142857143,1346,intact,32,26,-12
p1352,1350,465.0,3117.821505376344,3114.965591397849,1350,intact,32,27,-11
p1392,1354,406.0,3118.9507389162563,3178.014778325123,1354,intact,32,28,-10
p1432,1351,456.0,3119.1008771929824,3235.4122807017543,1351,intact,32,29,-9
p1472,1355,323.0,3119.4241486068117,3295.371517027864,1355,intact,32,30,-8
p1512,1352,409.0,3119.574572127139,3350.452322738386,1352,intact,32,31,-7
p1552,1356,272.0,3120.4007352941176,3403.716911764706,1356,intact,32,32,-6
p1592,1353,512.0,3120.38671875,3459.90625,1353,intact,32,33,-5
p1632,1357,405.0,3121.479012345679,3507.43950617284,1357,intact,32,34,-4
p1672,1358,558.0,3121.826164874552,3559.6541218637994,1358,intact,32,35,-3
p1712,1359,540.0,3122.5574074074075,3610.003703703704,1359,intact,32,36,-2
p1752,1360,339.0,3122.9970501474927,3663.1150442477874,1360,intact,32,37,-1
p313,1363,588.0,3161.5850340136053,1645.6683673469388,1363,intact,33,1,-37
p353,1369,244.0,3164.3606557377047,1689.266393442623,1369,intact,33,2,-36
p393,1374,536.0,3164.4141791044776,1758.679104477612,1374,intact,33,3,-35
p433,1366,365.0,3163.627397260274,1812.282191780822,1366,intact,33,4,-34
p473,1370,517.0,3164.647969052224,1865.137330754352,1370,intact,33,5,-33
p513,1368,367.0,3163.9128065395093,1920.1198910081744,1368,intact,33,6,-32
p553,1375,567.0,3164.9876543209875,1980.310405643739,1375,intact,33,7,-31
p593,1376,222.0,3166.3963963963965,2030.9504504504505,1376,intact,33,8,-30
p633,1383,495.0,3165.647532782697,2100.832361205722,1383_1371,combined,33,9,-29
p673,1377,259.0,3166.752895752896,2148.069498069498,1377,intact,33,10,-28
p713,1379,561.0,3165.9714795008917,2206.053475935829,1379,intact,33,11,-27
p753,1373,409.0,3166.6308068459657,2255.8141809290955,1373,intact,33,12,-26
p793,1380,628.0,3166.572623089983,2318.594206281834,1380_1381,combined,33,13,-25
p833,1372,409.0,3167.4327628361857,2366.0244498777506,1372,intact,33,14,-24
p873,1378,551.0,3166.7949183303085,2439.281306715064,1378,intact,33,15,-23
p913,1382,326.0,3168.530674846626,2483.840490797546,1382,intact,33,16,-22
p953,1384,588.0,3168.5544217687075,2550.365646258504,1384,intact,33,17,-21
p993,1386,345.0,3172.5884057971016,2597.2521739130434,1386,intact,33,18,-20
p1033,1385,616.0,3171.6233766233768,2663.6720779220777,1385,intact,33,19,-19
p1073,1387,523.0,3172.770554493308,2713.8432122370937,1387,intact,33,20,-18
p1113,1388,509.0,3172.2514734774068,2775.4223968565816,1388,intact,33,21,-17
p1153,1389,563.0,3174.4902309058616,2822.909413854352,1389,intact,33,22,-16
p1193,1390,645.0,3175.288372093023,2895.42015503876,1390,intact,33,23,-15
p1233,1391,212.0,3175.183962264151,2950.3915094339623,1391,intact,33,24,-14
p1273,1392,607.0,3176.4266886326195,3006.494233937397,1392,intact,33,25,-13
p1313,1393,241.0,3176.244813278008,3076.8879668049794,1393,intact,33,26,-12
p1353,1395,361.0,3178.168975069252,3115.462603878116,1395,intact,33,27,-11
p1393,1394,442.0,3177.260180995475,3174.348416289593,1394,intact,33,28,-10
p1433,1397,343.0,3179.9795918367345,3237.265306122449,1397,intact,33,29,-9
p1473,1404,392.0,3179.9923469387754,3289.80612244898,1404,intact,33,30,-8
p1513,1400,436.0,3179.7362385321103,3351.626146788991,1400,intact,33,31,-7
p1553,1402,295.0,3180.596610169492,3401.352542372881,1402,intact,33,32,-6
p1593,1398,330.0,3179.7363636363634,3454.857575757576,1398,intact,33,33,-5
p1633,1399,324.0,3180.2623456790125,3505.5185185185187,1399,intact,33,34,-4
p1673,1401,556.0,3181.136690647482,3559.3075539568345,1401,intact,33,35,-3
p1713,1403,482.0,3181.761410788382,3608.2510373443984,1403,intact,33,36,-2
p1753,1396,496.0,3181.0423387096776,3662.659274193548,1396,intact,33,37,-1
p314,1410,626.0,3219.3785942492013,1648.5415335463258,1410,intact,34,1,-37
p354,1418,275.0,3221.6545454545453,1689.5236363636363,1418,intact,34,2,-36
p394,1406,520.0,3219.778846153846,1756.076923076923,1406,intact,34,3,-35
p434,1413,405.0,3220.23950617284,1810.414814814815,1413,intact,34,4,-34
p474,1411,583.0,3219.509433962264,1861.6277873070328,1411,intact,34,5,-33
p514,1414,412.0,3221.28640776699,1918.264563106796,1414,intact,34,6,-32
p554,1412,654.0,3220.5045871559632,1979.5902140672783,1412,intact,34,7,-31
p594,1415,227.0,3221.77973568282,2033.308370044053,1415,intact,34,8,-30
p634,1416,548.0,3221.9671532846714,2090.883211678832,1416,intact,34,9,-29
p674,1419,237.0,3222.9662447257383,2144.8481012658226,1419,intact,34,10,-28
p714,1417,661.0,3221.7019667170957,2202.8986384266263,1417,intact,34,11,-27
p754,1424,408.0,3224.3161764705883,2257.2720588235293,1424,intact,34,12,-26
p794,1420,581.0,3222.944922547332,2317.0963855421687,1420,intact,34,13,-25
p834,1421,367.0,3223.863760217984,2365.2397820163487,1421,intact,34,14,-24
p874,1422,657.0,3224.6044545640034,2441.5603772884942,1422_1423,combined,34,15,-23
p914,1426,187.0,3225.283422459893,2483.4598930481284,1426,intact,34,16,-22
p954,1427,679.0,3226.162321602694,2553.411656768017,1427_1425,combined,34,17,-21
p994,1428,248.0,3228.2862903225805,2598.2701612903224,1428,intact,34,18,-20
p1034,1432,548.0,3228.7408759124087,2661.9069343065694,1432,intact,34,19,-19
p1074,1429,647.0,3229.0,2712.68315301391,1429,intact,34,20,-18
p1114,1430,619.0,3228.5169628432955,2773.327948303716,1430,intact,34,21,-17
p1154,1431,423.0,3229.813238770685,2820.028368794326,1431,intact,34,22,-16
p1194,1433,596.0,3230.0889261744965,2895.5889261744965,1433,intact,34,23,-15
p1234,1435,283.0,3231.537102473498,2949.473498233216,1435,intact,34,24,-14
p1274,1437,572.0,3231.86013986014,3004.171328671329,1437,intact,34,25,-13
