label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
243,752.0,1650.1436170212767,3363.88164893617,243,intact,6,31,-7
249,409.0,1651.5941320293398,3406.8166259168706,249,intact,6,32,-6
252,543.0,1652.1878453038673,3465.1436464088397,252,intact,6,33,-5
250,453.0,1652.0883002207506,3513.5474613686533,250,intact,6,34,-4
246,474.0,1651.259493670886,3568.73417721519,246,intact,6,35,-3
253,461.0,1653.006507592191,3618.24295010846,253,intact,6,36,-2
254,390.0,1651.8333333333333,3672.641025641026,254,intact,6,37,-1
257,447.0,1693.7941834451901,1655.65548098434,257,intact,7,1,-37
259,403.0,1697.2034739454095,1699.228287841191,259,intact,7,2,-36
260,491.0,1696.6700610997964,1761.661914460285,260,intact,7,3,-35
262,369.0,1699.0271002710026,1810.6558265582655,262,intact,7,4,-34
261,521.0,1697.6468330134358,1871.2072936660268,261,intact,7,5,-33
266,427.0,1699.4707259953161,1923.7377049180327,266,intact,7,6,-32
263,516.0,1699.0174418604652,1989.5038759689924,263,intact,7,7,-31
267,320.0,1700.584375,2035.021875,267,intact,7,8,-30
264,497.0,1699.5694164989939,2110.0482897384304,264,intact,7,9,-29
265,339.0,1699.401179941003,2158.607669616519,265,intact,7,10,-28
268,533.0,1699.8405253283302,2218.529080675422,268,intact,7,11,-27
269,291.0,1701.4398625429553,2266.6701030927834,269,intact,7,12,-26
271,467.0,1701.4282655246252,2329.385438972163,271,intact,7,13,-25
270,389.0,1702.7866323907456,2374.778920308483,270,intact,7,14,-24
272,473.0,1703.063424947146,2450.228329809725,272,intact,7,15,-23
